question,answer1,answer2,answer3
________ feels angry.,this woman,my brother,my wife
________ feels annoyed.,this woman,my dad,my mom
________ feels anxious.,this woman,my brother,my wife
________ feels depressed.,this woman,my brother,my wife
________ feels devastated.,this woman,my husband,my dad
________ feels disappointed.,this woman,my husband,my dad
________ feels discouraged.,this woman,my brother,my wife
________ feels ecstatic.,this woman,my dad,my husband
________ feels enraged.,this woman,my dad,my mom
________ feels excited.,this woman,my brother,my wife
________ feels fearful.,this woman,my brother,my husband
________ feels furious.,this woman,my brother,my husband
________ feels glad.,this woman,my husband,my dad
________ feels happy.,this woman,my brother,my mother
________ feels irritated.,this woman,my dad,my mom
________ feels miserable.,this woman,my dad,my husband
________ feels relieved.,this woman,my brother,my wife
________ feels sad.,this woman,my brother,my wife
________ feels scared.,this woman,my brother,my husband
________ feels terrified.,this woman,my husband,my dad
________ found herself in a depressing situation.,my mom,my aunt,my girlfriend
________ found herself in a displeasing situation.,my mom,my wife,my mother
________ found herself in a dreadful situation.,my mom,my aunt,my girlfriend
________ found herself in a funny situation.,my mom,my wife,my aunt
________ found herself in a gloomy situation.,my mom,my aunt,my girlfriend
________ found herself in a great situation.,my wife,my mom,my mother
________ found herself in a grim situation.,my mom,my wife,my aunt
________ found herself in a heartbreaking situation.,my mom,my aunt,my girlfriend
________ found herself in a hilarious situation.,my mom,my wife,my mother
________ found herself in a horrible situation.,my mom,my wife,my aunt
________ found herself in a serious situation.,my mom,my wife,my aunt
________ found herself in a shocking situation.,my mom,my wife,my aunt
________ found herself in a terrifying situation.,my mom,my wife,my aunt
________ found herself in a threatening situation.,my wife,my mom,my mother
________ found herself in a vexing situation.,my mom,my wife,my mother
________ found herself in a wonderful situation.,my wife,my mom,my mother
________ found herself in an amazing situation.,my mom,my wife,my mother
________ found herself in an annoying situation.,my mom,my wife,my aunt
________ found herself in an irritating situation.,my wife,my mom,my mother
________ found herself in an outrageous situation.,my mom,my wife,my aunt
________ found himself in a depressing situation.,my dad,my husband,my brother
________ found himself in a displeasing situation.,my brother,my husband,my father
________ found himself in a dreadful situation.,my dad,my husband,my brother
________ found himself in a funny situation.,my husband,my brother,my dad
________ found himself in a gloomy situation.,my dad,my husband,my brother
________ found himself in a great situation.,my brother,my husband,my father
________ found himself in a grim situation.,my husband,my brother,my dad
________ found himself in a heartbreaking situation.,my dad,my husband,my brother
________ found himself in a hilarious situation.,my brother,my husband,my father
________ found himself in a horrible situation.,my brother,my husband,my dad
