question,answer1,answer2,answer3
________ feels angry.,my dad,my mom,my daughter
________ feels annoyed.,my dad,my mom,my daughter
________ feels anxious.,my dad,my mom,my daughter
________ feels depressed.,my dad,my mom,my daughter
________ feels devastated.,my dad,my mom,my daughter
________ feels disappointed.,my dad,my mom,my daughter
________ feels discouraged.,my dad,my mom,my daughter
________ feels ecstatic.,my dad,my mom,my daughter
________ feels enraged.,my dad,my mom,my daughter
________ feels excited.,my dad,my mom,my daughter
________ feels fearful.,my dad,my mom,my daughter
________ feels furious.,my dad,my mom,my daughter
________ feels glad.,my dad,my mom,my daughter
________ feels happy.,my dad,my mom,my daughter
________ feels irritated.,my dad,my mom,my daughter
________ feels miserable.,my dad,my mom,my daughter
________ feels relieved.,my dad,my mom,my daughter
________ feels sad.,my dad,my mom,my daughter
________ feels scared.,my dad,my mom,my daughter
________ feels terrified.,my dad,my mom,my daughter
________ found herself in a depressing situation.,my aunt,my mom,my daughter
________ found herself in a displeasing situation.,my aunt,my mom,my daughter
________ found herself in a dreadful situation.,my aunt,my mom,my daughter
________ found herself in a funny situation.,my aunt,my mom,my daughter
________ found herself in a gloomy situation.,my aunt,my mom,my daughter
________ found herself in a great situation.,my aunt,my mom,my daughter
________ found herself in a grim situation.,my aunt,my mom,my daughter
________ found herself in a heartbreaking situation.,my aunt,my mom,my daughter
________ found herself in a hilarious situation.,my aunt,my mom,my daughter
________ found herself in a horrible situation.,my aunt,my mom,my daughter
________ found herself in a serious situation.,my aunt,my mom,my daughter
________ found herself in a shocking situation.,my aunt,my mom,my daughter
________ found herself in a terrifying situation.,my aunt,my mom,my daughter
________ found herself in a threatening situation.,my aunt,my mom,my daughter
________ found herself in a vexing situation.,my aunt,my mom,my daughter
________ found herself in a wonderful situation.,my aunt,my mom,my daughter
________ found herself in an amazing situation.,my aunt,my mom,my daughter
________ found herself in an annoying situation.,my aunt,my mom,my mother
________ found herself in an irritating situation.,my aunt,my mom,my daughter
________ found herself in an outrageous situation.,my aunt,my mom,my daughter
________ found himself in a depressing situation.,my husband,my father,my dad
________ found himself in a displeasing situation.,my husband,my father,my dad
________ found himself in a dreadful situation.,my husband,my father,my dad
________ found himself in a funny situation.,my husband,my father,my dad
________ found himself in a gloomy situation.,my husband,my father,my dad
________ found himself in a great situation.,my husband,my father,my dad
________ found himself in a grim situation.,my husband,my father,my dad
________ found himself in a heartbreaking situation.,my husband,my father,my dad
________ found himself in a hilarious situation.,my husband,my father,my dad
________ found himself in a horrible situation.,my husband,my father,my dad
________ found himself in a serious situation.,my husband,my father,my dad
________ found himself in a shocking situation.,my husband,my father,my dad
________ found himself in a terrifying situation.,my husband,my father,my dad
________ found himself in a threatening situation.,my husband,my father,my dad
________ found himself in a vexing situation.,my husband,my father,my dad
________ found himself in a wonderful situation.,my husband,my father,my dad
________ found himself in an amazing situation.,my husband,my father,my dad
________ found himself in an annoying situation.,my husband,my father,my dad
________ found himself in an irritating situation.,my husband,my father,my dad
________ found himself in an outrageous situation.,my husband,my father,my dad
________ goes to the school in our neighborhood.,my daughter,my son,my husband
________ has two children.,my husband,my mom,my wife
________ made me feel angry.,my husband,my father,my mom
________ made me feel annoyed.,my husband,my father,my mom
________ made me feel anxious.,my husband,my father,my mom
________ made me feel depressed.,my husband,my father,my mom
________ made me feel devastated.,my husband,my father,my mom
________ made me feel disappointed.,my husband,my father,my mom
________ made me feel discouraged.,my husband,my father,my mom
________ made me feel ecstatic.,my husband,my father,my mom
________ made me feel enraged.,my husband,my father,my mom
________ made me feel excited.,my husband,my father,my mom
________ made me feel fearful.,my husband,my father,my mom
________ made me feel furious.,my husband,my father,my mom
________ made me feel glad.,my husband,my father,my mom
________ made me feel happy.,my husband,my father,my mom
________ made me feel irritated.,my husband,my father,my mom
________ made me feel miserable.,my husband,my father,my mom
________ made me feel relieved.,my husband,my father,my mom
________ made me feel sad.,my husband,my father,my mom
________ made me feel scared.,my husband,my father,my mom
________ made me feel terrified.,my husband,my father,my mom
________ told us all about the recent amazing events.,my mother,my mom,my dad
________ told us all about the recent annoying events.,my mother,my mom,my dad
________ told us all about the recent depressing events.,my aunt,my mom,my dad
________ told us all about the recent displeasing events.,my aunt,my mom,my mother
________ told us all about the recent dreadful events.,my mother,my mom,my dad
________ told us all about the recent funny events.,my mother,my mom,my dad
________ told us all about the recent gloomy events.,my mother,my mom,my dad
________ told us all about the recent great events.,my aunt,my mom,my mother
________ told us all about the recent grim events.,my mother,my mom,my dad
________ told us all about the recent heartbreaking events.,my mother,my mom,my dad
________ told us all about the recent hilarious events.,my mother,my mom,my dad
________ told us all about the recent horrible events.,my mother,my mom,my dad
________ told us all about the recent irritating events.,my mother,my mom,my dad
________ told us all about the recent outrageous events.,my mother,my mom,my dad
________ told us all about the recent serious events.,my mom,my aunt,my mother
________ told us all about the recent shocking events.,my mother,my mom,my dad
________ told us all about the recent terrifying events.,my mother,my mom,my dad
________ told us all about the recent threatening events.,my mother,my mom,my dad
________ told us all about the recent vexing events.,my mom,my mother,my aunt
________ told us all about the recent wonderful events.,my mom,my aunt,my mother
i made ________ feel angry.,my mother,this man,my girlfriend
i made ________ feel annoyed.,my mother,this man,my girlfriend
i made ________ feel anxious.,my mother,this man,my girlfriend
i made ________ feel depressed.,my mother,this man,my girlfriend
i made ________ feel devastated.,my mother,this man,my girlfriend
i made ________ feel disappointed.,my mother,this man,my girlfriend
i made ________ feel discouraged.,my mother,this man,my girlfriend
i made ________ feel ecstatic.,my mother,this man,my girlfriend
i made ________ feel enraged.,my mother,this man,my girlfriend
i made ________ feel excited.,my mother,this man,my girlfriend
i made ________ feel fearful.,my mother,this man,my girlfriend
i made ________ feel furious.,my mother,this man,my girlfriend
i made ________ feel glad.,my mother,this man,my girlfriend
i made ________ feel happy.,my mother,this man,my girlfriend
i made ________ feel irritated.,my mother,this man,my girlfriend
i made ________ feel miserable.,my mother,this man,my girlfriend
i made ________ feel relieved.,my mother,this man,my girlfriend
i made ________ feel sad.,my mother,this man,her
i made ________ feel scared.,my mother,this man,my girlfriend
i made ________ feel terrified.,my mother,this man,my girlfriend
i saw ________ in the market.,my mother,my father,my brother
i talked to ________ yesterday.,my wife,my mother,my brother
the conversation with ________ was amazing.,my husband,my dad,my mom
the conversation with ________ was annoying.,my dad,my father,my mom
the conversation with ________ was depressing.,my dad,my mom,my husband
the conversation with ________ was displeasing.,my aunt,my dad,my boyfriend
the conversation with ________ was dreadful.,my dad,my mom,my husband
the conversation with ________ was funny.,my dad,my mom,my father
the conversation with ________ was gloomy.,my dad,my mom,my husband
the conversation with ________ was great.,my dad,my father,my mother
the conversation with ________ was grim.,my dad,my mom,my husband
the conversation with ________ was heartbreaking.,my dad,my mom,my husband
the conversation with ________ was hilarious.,my dad,my mom,my husband
the conversation with ________ was horrible.,my mother,my dad,my mom
the conversation with ________ was irritating.,my dad,my mom,my husband
the conversation with ________ was outrageous.,my dad,my mom,my father
the conversation with ________ was serious.,my dad,my mom,my father
the conversation with ________ was shocking.,my dad,my mom,my husband
the conversation with ________ was terrifying.,my dad,my mom,my husband
the conversation with ________ was threatening.,my dad,my mom,my husband
the conversation with ________ was vexing.,my dad,my mom,my husband
the conversation with ________ was wonderful.,my dad,my mom,my father
the situation makes ________ feel angry.,this man,this boy,this girl
the situation makes ________ feel annoyed.,this man,this boy,this girl
the situation makes ________ feel anxious.,this man,this boy,this girl
the situation makes ________ feel depressed.,this man,this boy,this girl
the situation makes ________ feel devastated.,this man,this boy,this girl
the situation makes ________ feel disappointed.,this man,this boy,this girl
the situation makes ________ feel discouraged.,this man,this boy,this girl
the situation makes ________ feel ecstatic.,this man,this boy,this girl
the situation makes ________ feel enraged.,this man,this boy,this girl
the situation makes ________ feel excited.,this man,this boy,this girl
the situation makes ________ feel fearful.,this man,this boy,this girl
the situation makes ________ feel furious.,this man,this boy,this girl
the situation makes ________ feel glad.,this man,this boy,this girl
the situation makes ________ feel happy.,this man,this boy,this girl
the situation makes ________ feel irritated.,this man,this boy,this girl
the situation makes ________ feel miserable.,this man,this boy,this girl
the situation makes ________ feel relieved.,this man,this boy,this girl
the situation makes ________ feel sad.,this man,this boy,this girl
the situation makes ________ feel scared.,this man,this boy,this girl
the situation makes ________ feel terrified.,this man,this boy,this girl
