question,answer1,answer2,answer3
________ feels angry.,this woman,my wife,my husband
________ feels annoyed.,this woman,my dad,my husband
________ feels anxious.,this woman,my dad,my husband
________ feels depressed.,this woman,my dad,my husband
________ feels devastated.,this woman,my dad,my husband
________ feels disappointed.,this woman,my husband,my wife
________ feels discouraged.,this woman,my dad,my husband
________ feels ecstatic.,this woman,my dad,my sister
________ feels enraged.,this woman,my dad,my sister
________ feels excited.,this woman,my wife,my husband
________ feels fearful.,this woman,my husband,my dad
________ feels furious.,this woman,my dad,my husband
________ feels glad.,this woman,my wife,my husband
________ feels happy.,this woman,my wife,my husband
________ feels irritated.,this woman,my dad,my sister
________ feels miserable.,this woman,my husband,my dad
________ feels relieved.,this woman,my husband,my dad
________ feels sad.,this woman,my wife,my husband
________ feels scared.,this woman,my husband,my wife
________ feels terrified.,this woman,my dad,my husband
________ found herself in a depressing situation.,my mom,my sister,my daughter
________ found herself in a displeasing situation.,my mom,my wife,my daughter
________ found herself in a dreadful situation.,my mom,my sister,my daughter
________ found herself in a funny situation.,my mom,my wife,my daughter
________ found herself in a gloomy situation.,my mom,my wife,my daughter
________ found herself in a great situation.,my mom,my wife,my daughter
________ found herself in a grim situation.,my mom,my sister,my daughter
________ found herself in a heartbreaking situation.,my mom,my sister,my daughter
________ found herself in a hilarious situation.,my mom,my sister,my wife
________ found herself in a horrible situation.,my mom,my aunt,my sister
________ found herself in a serious situation.,my mom,my sister,my wife
________ found herself in a shocking situation.,my mom,my sister,my daughter
________ found herself in a terrifying situation.,my mom,my sister,my daughter
________ found herself in a threatening situation.,my mom,my wife,my daughter
________ found herself in a vexing situation.,my mom,my sister,my daughter
________ found herself in a wonderful situation.,my mom,my wife,my daughter
________ found herself in an amazing situation.,my mom,my wife,my mother
________ found herself in an annoying situation.,my mom,my sister,my daughter
________ found herself in an irritating situation.,my mom,my wife,my sister
________ found herself in an outrageous situation.,my mom,my sister,my daughter
________ found himself in a depressing situation.,my father,my husband,this man
________ found himself in a displeasing situation.,my father,my husband,this man
________ found himself in a dreadful situation.,my father,my husband,this man
________ found himself in a funny situation.,my father,my husband,this man
________ found himself in a gloomy situation.,my father,my husband,this man
________ found himself in a great situation.,my father,my husband,this man
________ found himself in a grim situation.,my father,my husband,this man
________ found himself in a heartbreaking situation.,my father,my husband,this man
________ found himself in a hilarious situation.,my father,my husband,this man
________ found himself in a horrible situation.,my father,my husband,this man
________ found himself in a serious situation.,my father,my husband,this man
________ found himself in a shocking situation.,my father,my husband,this man
________ found himself in a terrifying situation.,my father,my husband,this man
________ found himself in a threatening situation.,my father,my husband,this man
________ found himself in a vexing situation.,my father,my husband,this man
________ found himself in a wonderful situation.,my father,my husband,this man
________ found himself in an amazing situation.,my father,my husband,this man
________ found himself in an annoying situation.,my father,my husband,this man
________ found himself in an irritating situation.,my father,my husband,this man
________ found himself in an outrageous situation.,my father,my husband,this man
