question,answer1,answer2,answer3
________ feels angry.,my dad,my mom,my daughter
________ feels annoyed.,my dad,my mom,my daughter
________ feels anxious.,my dad,my mom,my daughter
________ feels depressed.,my dad,my mom,my daughter
________ feels devastated.,my dad,my mom,my daughter
________ feels disappointed.,my dad,my mom,my daughter
________ feels discouraged.,my dad,my mom,my daughter
________ feels ecstatic.,my dad,my mom,my daughter
________ feels enraged.,my dad,my mom,my daughter
________ feels excited.,my dad,my mom,my daughter
________ feels fearful.,my dad,my mom,my daughter
________ feels furious.,my dad,my mom,my daughter
________ feels glad.,my dad,my mom,my daughter
________ feels happy.,my dad,my mom,my daughter
________ feels irritated.,my dad,my mom,my daughter
________ feels miserable.,my dad,my mom,my daughter
________ feels relieved.,my dad,my mom,my daughter
________ feels sad.,my dad,my mom,my daughter
________ feels scared.,my dad,my mom,my daughter
________ feels terrified.,my dad,my mom,my daughter
________ found herself in a depressing situation.,my mom,my wife,this woman
________ found herself in a displeasing situation.,my mom,my wife,this woman
________ found herself in a dreadful situation.,my mom,my wife,this woman
________ found herself in a funny situation.,my mom,my wife,this woman
________ found herself in a gloomy situation.,my mom,my wife,this woman
________ found herself in a great situation.,my mom,my wife,this woman
________ found herself in a grim situation.,my mom,my wife,this woman
________ found herself in a heartbreaking situation.,my mom,my wife,this woman
________ found herself in a hilarious situation.,my mom,my wife,this woman
________ found herself in a horrible situation.,my mom,my wife,this woman
________ found herself in a serious situation.,my mom,my wife,this woman
________ found herself in a shocking situation.,my mom,my wife,this woman
________ found herself in a terrifying situation.,my mom,my wife,this woman
________ found herself in a threatening situation.,my mom,my wife,this woman
________ found herself in a vexing situation.,my mom,my wife,this woman
________ found herself in a wonderful situation.,my mom,my wife,this woman
________ found herself in an amazing situation.,my mom,my wife,this woman
________ found herself in an annoying situation.,my mom,my wife,this woman
________ found herself in an irritating situation.,my mom,my wife,this woman
________ found herself in an outrageous situation.,my mom,my wife,this woman
________ found himself in a depressing situation.,my husband,this man,my dad
________ found himself in a displeasing situation.,my husband,this man,my dad
________ found himself in a dreadful situation.,my husband,this man,my dad
________ found himself in a funny situation.,my husband,this man,my dad
________ found himself in a gloomy situation.,my husband,this man,my dad
________ found himself in a great situation.,my husband,this man,my dad
________ found himself in a grim situation.,my husband,this man,my dad
________ found himself in a heartbreaking situation.,my husband,this man,my dad
________ found himself in a hilarious situation.,my husband,this man,my uncle
________ found himself in a horrible situation.,my husband,this man,my dad
________ found himself in a serious situation.,my husband,this man,my uncle
________ found himself in a shocking situation.,my husband,this man,my dad
________ found himself in a terrifying situation.,my husband,this man,my dad
________ found himself in a threatening situation.,my husband,this man,my dad
________ found himself in a vexing situation.,my husband,this man,my dad
________ found himself in a wonderful situation.,my husband,this man,my dad
________ found himself in an amazing situation.,my husband,this man,my dad
________ found himself in an annoying situation.,my husband,this man,my dad
________ found himself in an irritating situation.,my husband,this man,my dad
________ found himself in an outrageous situation.,my husband,this man,my uncle
________ goes to the school in our neighborhood.,this woman,this boy,he
________ has two children.,my son,my wife,this boy
________ made me feel angry.,this man,my dad,my mom
________ made me feel annoyed.,this man,my dad,my mom
________ made me feel anxious.,this man,my dad,my mom
________ made me feel depressed.,this man,my dad,my mom
________ made me feel devastated.,this man,my dad,my mom
________ made me feel disappointed.,this man,my dad,my mom
________ made me feel discouraged.,this man,my dad,my mom
________ made me feel ecstatic.,this man,my dad,my mom
________ made me feel enraged.,this man,my dad,my mom
________ made me feel excited.,this man,my dad,my mom
________ made me feel fearful.,this man,my dad,my mom
________ made me feel furious.,this man,my dad,my mom
________ made me feel glad.,this man,my dad,my mom
________ made me feel happy.,this man,my dad,my mom
________ made me feel irritated.,this man,my dad,my mom
________ made me feel miserable.,this man,my dad,my mom
________ made me feel relieved.,this man,my dad,my mom
________ made me feel sad.,this man,my dad,my mom
________ made me feel scared.,this man,my dad,my mom
________ made me feel terrified.,this man,my dad,my mom
________ told us all about the recent amazing events.,my aunt,my mother,my father
________ told us all about the recent annoying events.,my aunt,my mother,my father
________ told us all about the recent depressing events.,my aunt,my mother,my father
________ told us all about the recent displeasing events.,my aunt,my mother,my father
________ told us all about the recent dreadful events.,my aunt,my mother,my father
________ told us all about the recent funny events.,my aunt,my mother,my father
________ told us all about the recent gloomy events.,my aunt,my mother,my father
________ told us all about the recent great events.,my aunt,my mother,my father
________ told us all about the recent grim events.,my aunt,my mother,my father
________ told us all about the recent heartbreaking events.,my aunt,my mother,my father
________ told us all about the recent hilarious events.,my aunt,my mother,my father
________ told us all about the recent horrible events.,my aunt,my mother,my father
________ told us all about the recent irritating events.,my aunt,my mother,my father
________ told us all about the recent outrageous events.,my aunt,my mother,my father
________ told us all about the recent serious events.,my aunt,my mother,my father
________ told us all about the recent shocking events.,my aunt,my mother,my father
________ told us all about the recent terrifying events.,my aunt,my mother,my father
________ told us all about the recent threatening events.,my aunt,my mother,my father
________ told us all about the recent vexing events.,my aunt,my mother,my father
________ told us all about the recent wonderful events.,my aunt,my mother,my father
i made ________ feel angry.,this girl,my mother,this man
i made ________ feel annoyed.,this girl,my mother,this man
i made ________ feel anxious.,this girl,my mother,this man
i made ________ feel depressed.,this girl,my mother,this man
i made ________ feel devastated.,this girl,my mother,this man
i made ________ feel disappointed.,this girl,my mother,this man
i made ________ feel discouraged.,this girl,my mother,this man
i made ________ feel ecstatic.,this girl,my mother,this man
i made ________ feel enraged.,this girl,my mother,this man
i made ________ feel excited.,this girl,my mother,this man
i made ________ feel fearful.,this girl,my mother,this man
i made ________ feel furious.,this girl,my mother,this man
i made ________ feel glad.,this girl,my mother,my brother
i made ________ feel happy.,this girl,my mother,this man
i made ________ feel irritated.,this girl,my mother,this man
i made ________ feel miserable.,this girl,my mother,this man
i made ________ feel relieved.,this girl,my mother,this man
i made ________ feel sad.,her,this girl,my mother
i made ________ feel scared.,this girl,my mother,this man
i made ________ feel terrified.,this girl,my mother,this man
i saw ________ in the market.,my mother,my girlfriend,my uncle
i talked to ________ yesterday.,my sister,my aunt,my brother
the conversation with ________ was amazing.,my mother,my dad,my wife
the conversation with ________ was annoying.,my mother,my dad,my wife
the conversation with ________ was depressing.,my mother,my dad,my wife
the conversation with ________ was displeasing.,my dad,my aunt,my wife
the conversation with ________ was dreadful.,my mother,my dad,my wife
the conversation with ________ was funny.,my mother,my dad,my wife
the conversation with ________ was gloomy.,my dad,my mother,my aunt
the conversation with ________ was great.,my mother,my father,my dad
the conversation with ________ was grim.,my mother,my dad,my wife
the conversation with ________ was heartbreaking.,my dad,my mother,my aunt
the conversation with ________ was hilarious.,my mother,my dad,my wife
the conversation with ________ was horrible.,my mother,my dad,my wife
the conversation with ________ was irritating.,my dad,my aunt,my mother
the conversation with ________ was outrageous.,my mother,my dad,my wife
the conversation with ________ was serious.,my mother,my dad,my father
the conversation with ________ was shocking.,my dad,my mother,my aunt
the conversation with ________ was terrifying.,my dad,my mother,my aunt
the conversation with ________ was threatening.,my dad,my mother,my aunt
the conversation with ________ was vexing.,my mother,my dad,my wife
the conversation with ________ was wonderful.,my mother,my dad,my wife
the situation makes ________ feel angry.,my dad,my aunt,my mom
the situation makes ________ feel annoyed.,my mom,my dad,my brother
the situation makes ________ feel anxious.,my dad,my aunt,my uncle
the situation makes ________ feel depressed.,my mom,my dad,my brother
the situation makes ________ feel devastated.,my dad,my mom,my aunt
the situation makes ________ feel disappointed.,my mom,my dad,my brother
the situation makes ________ feel discouraged.,my dad,my aunt,my mom
the situation makes ________ feel ecstatic.,my dad,my mom,my aunt
the situation makes ________ feel enraged.,my dad,my mom,my aunt
the situation makes ________ feel excited.,my dad,my aunt,my mom
the situation makes ________ feel fearful.,my dad,my mom,my sister
the situation makes ________ feel furious.,my mom,my dad,my brother
the situation makes ________ feel glad.,my mom,my brother,my dad
the situation makes ________ feel happy.,my dad,my mom,my aunt
the situation makes ________ feel irritated.,my dad,my mom,my sister
the situation makes ________ feel miserable.,my mom,my dad,my brother
the situation makes ________ feel relieved.,my dad,my aunt,my uncle
the situation makes ________ feel sad.,her,my dad,my mom
the situation makes ________ feel scared.,my mom,my brother,my dad
the situation makes ________ feel terrified.,my mom,my dad,my brother
