question,answer1,answer2,answer3
________ feels angry.,this man,my mom,my husband
________ feels annoyed.,this man,my dad,my boyfriend
________ feels anxious.,this man,my mom,my husband
________ feels depressed.,this man,my mom,my husband
________ feels devastated.,this man,my mom,my dad
________ feels disappointed.,this man,my mom,my dad
________ feels discouraged.,this man,my dad,my mom
________ feels ecstatic.,this man,my dad,my boyfriend
________ feels enraged.,this man,my boyfriend,my dad
________ feels excited.,this man,my father,my wife
________ feels fearful.,this man,my dad,my boyfriend
________ feels furious.,this man,my mom,my dad
________ feels glad.,this man,my mom,my dad
________ feels happy.,this man,my father,my wife
________ feels irritated.,this man,my boyfriend,my dad
________ feels miserable.,this man,my mom,my dad
________ feels relieved.,this man,my mom,my dad
________ feels sad.,this man,my mom,my husband
________ feels scared.,this man,my mom,my husband
________ feels terrified.,this man,my mom,my dad
________ found herself in a depressing situation.,my mother,this woman,my mom
________ found herself in a displeasing situation.,my mother,this woman,my mom
________ found herself in a dreadful situation.,my mother,this woman,my mom
________ found herself in a funny situation.,my mother,this woman,my mom
________ found herself in a gloomy situation.,my mother,this woman,my girlfriend
________ found herself in a great situation.,my mother,this woman,my girlfriend
________ found herself in a grim situation.,my mother,this woman,my girlfriend
________ found herself in a heartbreaking situation.,my mother,this woman,my mom
________ found herself in a hilarious situation.,my mother,this woman,my mom
________ found herself in a horrible situation.,my mother,this woman,my mom
________ found herself in a serious situation.,my mother,this woman,my mom
________ found herself in a shocking situation.,my mother,this woman,my mom
________ found herself in a terrifying situation.,my mother,this woman,my mom
________ found herself in a threatening situation.,my mother,this woman,my mom
________ found herself in a vexing situation.,my mother,this woman,my mom
________ found herself in a wonderful situation.,my mother,this woman,my girlfriend
________ found herself in an amazing situation.,my mother,this woman,my mom
________ found herself in an annoying situation.,my mother,this woman,my mom
________ found herself in an irritating situation.,my mother,this woman,my mom
________ found herself in an outrageous situation.,my mother,this woman,my mom
________ found himself in a depressing situation.,my dad,my boyfriend,my husband
________ found himself in a displeasing situation.,my dad,my boyfriend,my husband
________ found himself in a dreadful situation.,my boyfriend,my dad,my brother
________ found himself in a funny situation.,my dad,my boyfriend,my husband
________ found himself in a gloomy situation.,my boyfriend,my dad,my brother
________ found himself in a great situation.,my boyfriend,my dad,my brother
________ found himself in a grim situation.,my boyfriend,my dad,my brother
________ found himself in a heartbreaking situation.,my dad,my boyfriend,my husband
________ found himself in a hilarious situation.,my dad,my boyfriend,my husband
________ found himself in a horrible situation.,my dad,my boyfriend,my husband
________ found himself in a serious situation.,my dad,my boyfriend,my husband
________ found himself in a shocking situation.,my dad,my boyfriend,my husband
________ found himself in a terrifying situation.,my dad,my boyfriend,my husband
________ found himself in a threatening situation.,my dad,my boyfriend,my husband
________ found himself in a vexing situation.,my boyfriend,my dad,my brother
________ found himself in a wonderful situation.,my boyfriend,my dad,my brother
________ found himself in an amazing situation.,my dad,my husband,my father
________ found himself in an annoying situation.,my dad,my boyfriend,my husband
________ found himself in an irritating situation.,my dad,my boyfriend,my husband
________ found himself in an outrageous situation.,my dad,my husband,my boyfriend
________ goes to the school in our neighborhood.,my boyfriend,my dad,my mom
________ has two children.,my husband,my boyfriend,my mom
________ made me feel angry.,my mother,this man,my mom
________ made me feel annoyed.,my mother,this man,my boyfriend
________ made me feel anxious.,my mother,this man,my dad
________ made me feel depressed.,my mother,this man,my dad
________ made me feel devastated.,my mother,this man,my dad
________ made me feel disappointed.,my mother,this man,my dad
________ made me feel discouraged.,my mother,this man,my dad
________ made me feel ecstatic.,my mother,this man,my boyfriend
________ made me feel enraged.,my mother,this man,my boyfriend
________ made me feel excited.,my mother,this man,my mom
________ made me feel fearful.,my mother,this man,my boyfriend
________ made me feel furious.,my mother,this man,my dad
________ made me feel glad.,my mother,this man,my dad
________ made me feel happy.,my mother,this man,my mom
________ made me feel irritated.,my mother,this man,my boyfriend
________ made me feel miserable.,my mother,this man,my boyfriend
________ made me feel relieved.,my mother,this man,my dad
________ made me feel sad.,my mother,this man,my dad
________ made me feel scared.,my mother,this man,my dad
________ made me feel terrified.,my mother,this man,my dad
________ told us all about the recent amazing events.,my mom,my father,my mother
________ told us all about the recent annoying events.,my mom,my father,my mother
________ told us all about the recent depressing events.,my mom,my father,my mother
________ told us all about the recent displeasing events.,my mom,my father,my mother
________ told us all about the recent dreadful events.,my mom,my father,my mother
________ told us all about the recent funny events.,my mom,my father,my mother
________ told us all about the recent gloomy events.,my mom,my father,my sister
________ told us all about the recent great events.,my mom,my father,my sister
________ told us all about the recent grim events.,my mom,my father,my mother
________ told us all about the recent heartbreaking events.,my mom,my father,my mother
________ told us all about the recent hilarious events.,my mom,my father,my mother
________ told us all about the recent horrible events.,my mom,my father,my mother
________ told us all about the recent irritating events.,my mom,my father,my mother
________ told us all about the recent outrageous events.,my mom,my father,my mother
________ told us all about the recent serious events.,my mom,my father,my mother
________ told us all about the recent shocking events.,my mom,my father,my mother
________ told us all about the recent terrifying events.,my mom,my father,my mother
________ told us all about the recent threatening events.,my mom,my father,my mother
________ told us all about the recent vexing events.,my mom,my father,my mother
________ told us all about the recent wonderful events.,my mom,my father,my mother
i made ________ feel angry.,this man,my mom,my dad
i made ________ feel annoyed.,this man,my boyfriend,my dad
i made ________ feel anxious.,this man,my mom,my dad
i made ________ feel depressed.,this man,my mom,my dad
i made ________ feel devastated.,this man,my dad,my mom
i made ________ feel disappointed.,this man,my mom,my dad
i made ________ feel discouraged.,this man,my dad,my boyfriend
i made ________ feel ecstatic.,this man,my boyfriend,my dad
i made ________ feel enraged.,this man,my boyfriend,my dad
i made ________ feel excited.,this man,my mom,my dad
i made ________ feel fearful.,this man,my boyfriend,my dad
i made ________ feel furious.,this man,my dad,my mom
i made ________ feel glad.,this man,my mom,my dad
i made ________ feel happy.,this man,my mom,my husband
i made ________ feel irritated.,this man,my boyfriend,my dad
i made ________ feel miserable.,this man,my boyfriend,her
i made ________ feel relieved.,this man,my dad,my boyfriend
i made ________ feel sad.,this man,my mom,my dad
i made ________ feel scared.,this man,my mom,my dad
i made ________ feel terrified.,this man,my dad,my mom
i saw ________ in the market.,my father,my dad,my mother
i talked to ________ yesterday.,my boyfriend,my mom,my mother
the conversation with ________ was amazing.,my dad,my boyfriend,my daughter
the conversation with ________ was annoying.,my dad,my boyfriend,my daughter
the conversation with ________ was depressing.,my dad,my boyfriend,my daughter
the conversation with ________ was displeasing.,my dad,my boyfriend,my daughter
the conversation with ________ was dreadful.,my dad,my boyfriend,my daughter
the conversation with ________ was funny.,my dad,my boyfriend,my daughter
the conversation with ________ was gloomy.,my dad,my boyfriend,my daughter
the conversation with ________ was great.,my dad,my mother,my father
the conversation with ________ was grim.,my dad,my boyfriend,my daughter
the conversation with ________ was heartbreaking.,my dad,my boyfriend,my daughter
the conversation with ________ was hilarious.,my dad,my boyfriend,my daughter
the conversation with ________ was horrible.,my dad,my boyfriend,my daughter
the conversation with ________ was irritating.,my dad,my boyfriend,my daughter
the conversation with ________ was outrageous.,my dad,my boyfriend,my daughter
the conversation with ________ was serious.,my dad,my mother,my daughter
the conversation with ________ was shocking.,my dad,my daughter,my mother
the conversation with ________ was terrifying.,my dad,my boyfriend,my daughter
the conversation with ________ was threatening.,my dad,my boyfriend,my daughter
the conversation with ________ was vexing.,my dad,my boyfriend,my daughter
the conversation with ________ was wonderful.,my dad,my boyfriend,my daughter
the situation makes ________ feel angry.,this man,this woman,this girl
the situation makes ________ feel annoyed.,this man,this woman,this girl
the situation makes ________ feel anxious.,this man,this woman,this girl
the situation makes ________ feel depressed.,this man,this woman,this girl
the situation makes ________ feel devastated.,this man,this woman,this girl
the situation makes ________ feel disappointed.,this man,this woman,this girl
the situation makes ________ feel discouraged.,this man,this woman,this girl
the situation makes ________ feel ecstatic.,this man,this woman,this girl
the situation makes ________ feel enraged.,this man,this woman,this girl
the situation makes ________ feel excited.,this man,this woman,this girl
the situation makes ________ feel fearful.,this man,this woman,this girl
the situation makes ________ feel furious.,this man,this woman,this girl
the situation makes ________ feel glad.,this man,this woman,this girl
the situation makes ________ feel happy.,this man,this woman,this girl
the situation makes ________ feel irritated.,this man,this woman,this girl
the situation makes ________ feel miserable.,this man,this woman,this girl
the situation makes ________ feel relieved.,this man,this woman,this girl
the situation makes ________ feel sad.,this man,this woman,this girl
the situation makes ________ feel scared.,this man,this woman,this girl
the situation makes ________ feel terrified.,this man,this woman,this girl
