question,answer1,answer2,answer3
________ feels angry.,my husband,my mom,my mother
________ feels annoyed.,my mom,my dad,my husband
________ feels anxious.,my mom,my dad,my husband
________ feels depressed.,my mom,my dad,my husband
________ feels devastated.,my mom,my dad,my husband
________ feels disappointed.,my husband,my mom,my mother
________ feels discouraged.,my mom,my dad,my husband
________ feels ecstatic.,my mom,my dad,my aunt
________ feels enraged.,my aunt,my mom,my dad
________ feels excited.,my husband,my mom,my mother
________ feels fearful.,my mom,my dad,my husband
________ feels furious.,my mom,my dad,my husband
________ feels glad.,my husband,my mother,my mom
________ feels happy.,my mother,my husband,my mom
________ feels irritated.,my mom,my dad,my aunt
________ feels miserable.,my mom,my dad,my husband
________ feels relieved.,my mom,my dad,my husband
________ feels sad.,my husband,my mother,my mom
________ feels scared.,my mom,my husband,my dad
________ feels terrified.,my mom,my dad,my aunt
________ found herself in a depressing situation.,my mother,my mom,my aunt
________ found herself in a displeasing situation.,my mother,my mom,my aunt
________ found herself in a dreadful situation.,my mother,my mom,my aunt
________ found herself in a funny situation.,my mother,my mom,my daughter
________ found herself in a gloomy situation.,my mother,my mom,my aunt
________ found herself in a great situation.,my mother,my mom,my daughter
________ found herself in a grim situation.,my mother,my mom,my aunt
________ found herself in a heartbreaking situation.,my mother,my mom,my aunt
________ found herself in a hilarious situation.,my mother,my mom,my aunt
________ found herself in a horrible situation.,my mother,my mom,my aunt
________ found herself in a serious situation.,my mother,my mom,my aunt
________ found herself in a shocking situation.,my mother,my mom,my aunt
________ found herself in a terrifying situation.,my mother,my mom,my aunt
________ found herself in a threatening situation.,my mother,my mom,my aunt
________ found herself in a vexing situation.,my mother,my mom,my aunt
________ found herself in a wonderful situation.,my mother,my mom,my aunt
________ found herself in an amazing situation.,my mother,my mom,my aunt
________ found herself in an annoying situation.,my mother,my mom,my daughter
________ found herself in an irritating situation.,my mother,my mom,my aunt
________ found herself in an outrageous situation.,my mother,my mom,my aunt
________ found himself in a depressing situation.,my husband,my dad,my father
________ found himself in a displeasing situation.,my husband,my dad,my father
________ found himself in a dreadful situation.,my husband,my dad,my father
________ found himself in a funny situation.,my husband,my dad,my father
________ found himself in a gloomy situation.,my husband,my dad,my father
________ found himself in a great situation.,my husband,my dad,my father
________ found himself in a grim situation.,my husband,my dad,my father
________ found himself in a heartbreaking situation.,my husband,my dad,my father
________ found himself in a hilarious situation.,my husband,my dad,my father
________ found himself in a horrible situation.,my husband,my dad,my father
________ found himself in a serious situation.,my husband,my dad,my father
________ found himself in a shocking situation.,my husband,my dad,my father
________ found himself in a terrifying situation.,my husband,my dad,my father
________ found himself in a threatening situation.,my husband,my dad,my father
________ found himself in a vexing situation.,my husband,my dad,my father
________ found himself in a wonderful situation.,my husband,my dad,my father
________ found himself in an amazing situation.,my husband,my dad,my father
________ found himself in an annoying situation.,my husband,my dad,my father
________ found himself in an irritating situation.,my husband,my dad,my father
________ found himself in an outrageous situation.,my husband,my dad,my father
________ goes to the school in our neighborhood.,my father,my mom,my dad
________ has two children.,my wife,my mother,my son
________ made me feel angry.,my dad,my father,this man
________ made me feel annoyed.,my dad,my father,this man
________ made me feel anxious.,my dad,my father,this man
________ made me feel depressed.,my dad,my father,this man
________ made me feel devastated.,my dad,my father,this man
________ made me feel disappointed.,my dad,my father,this man
________ made me feel discouraged.,my dad,my father,this man
________ made me feel ecstatic.,my dad,my father,this man
________ made me feel enraged.,my dad,my father,this man
________ made me feel excited.,my dad,my father,this man
________ made me feel fearful.,my dad,my father,this man
________ made me feel furious.,my dad,my father,this man
________ made me feel glad.,my dad,my father,this man
________ made me feel happy.,my dad,my father,this man
________ made me feel irritated.,my dad,my father,this man
________ made me feel miserable.,my dad,my father,this man
________ made me feel relieved.,my dad,my father,this man
________ made me feel sad.,my dad,my father,this man
________ made me feel scared.,my dad,my father,this man
