question,answer1,answer2,answer3
________ feels angry.,my mom,my dad,my husband
________ feels annoyed.,my dad,my sister,my mom
________ feels anxious.,my dad,my mom,my daughter
________ feels depressed.,my dad,my mom,my sister
________ feels devastated.,my dad,my mom,my daughter
________ feels disappointed.,my dad,my mom,my daughter
________ feels discouraged.,my girlfriend,my aunt,my sister
________ feels ecstatic.,my dad,my sister,my mom
________ feels enraged.,my dad,my sister,my mom
________ feels excited.,my mom,my husband,my father
________ feels fearful.,my dad,my mom,my sister
________ feels furious.,my dad,my mom,my daughter
________ feels glad.,my mom,my husband,my father
________ feels happy.,my dad,my sister,my brother
________ feels irritated.,my dad,my sister,my mom
________ feels miserable.,my dad,my sister,my mom
________ feels relieved.,my dad,my mom,my daughter
________ feels sad.,my mom,my husband,my father
________ feels scared.,my mom,my dad,my husband
________ feels terrified.,my dad,my mom,my sister
________ found herself in a depressing situation.,my aunt,this woman,my sister
________ found herself in a displeasing situation.,my aunt,this woman,my sister
________ found herself in a dreadful situation.,my aunt,this woman,my sister
________ found herself in a funny situation.,my aunt,this woman,my sister
________ found herself in a gloomy situation.,my aunt,this woman,my sister
________ found herself in a great situation.,my aunt,this woman,my sister
________ found herself in a grim situation.,my aunt,this woman,my sister
________ found herself in a heartbreaking situation.,my aunt,this woman,my sister
________ found herself in a hilarious situation.,my aunt,this woman,my sister
________ found herself in a horrible situation.,my aunt,this woman,my sister
________ found herself in a serious situation.,my aunt,this woman,she
________ found herself in a shocking situation.,my aunt,this woman,my sister
________ found herself in a terrifying situation.,my aunt,this woman,my sister
________ found herself in a threatening situation.,my aunt,this woman,my sister
________ found herself in a vexing situation.,my aunt,this woman,my sister
________ found herself in a wonderful situation.,my aunt,this woman,my sister
________ found herself in an amazing situation.,my aunt,this woman,my sister
________ found herself in an annoying situation.,my aunt,this woman,my sister
________ found herself in an irritating situation.,my aunt,this woman,my sister
________ found herself in an outrageous situation.,my aunt,this woman,my sister
________ found himself in a depressing situation.,my father,my dad,my brother
________ found himself in a displeasing situation.,my father,my dad,my brother
________ found himself in a dreadful situation.,my father,my dad,my brother
________ found himself in a funny situation.,my father,my dad,my brother
________ found himself in a gloomy situation.,my father,my dad,my brother
________ found himself in a great situation.,my father,my dad,my brother
________ found himself in a grim situation.,my father,my dad,my brother
________ found himself in a heartbreaking situation.,my father,my dad,my brother
________ found himself in a hilarious situation.,my father,my dad,my brother
________ found himself in a horrible situation.,my father,my dad,my brother
________ found himself in a serious situation.,my father,my dad,my uncle
________ found himself in a shocking situation.,my father,my dad,my brother
