question,answer1,answer2,answer3
________ feels angry.,my daughter,my husband,my brother
________ feels annoyed.,my dad,this man,my girlfriend
________ feels anxious.,my dad,this man,my girlfriend
________ feels depressed.,my dad,this man,my sister
________ feels devastated.,my dad,this man,my girlfriend
________ feels disappointed.,my dad,my husband,my sister
________ feels discouraged.,my dad,this man,my aunt
________ feels ecstatic.,my dad,this man,my aunt
________ feels enraged.,my dad,this man,my aunt
________ feels excited.,my daughter,my husband,my brother
________ feels fearful.,my dad,this man,my aunt
________ feels furious.,my dad,this man,my girlfriend
________ feels glad.,my daughter,my wife,my brother
________ feels happy.,my wife,my daughter,my father
________ feels irritated.,my dad,this man,my aunt
________ feels miserable.,my dad,my husband,my sister
________ feels relieved.,my dad,this man,my sister
________ feels sad.,my daughter,my wife,my brother
________ feels scared.,my daughter,my wife,my brother
________ feels terrified.,my dad,this man,my sister
________ found herself in a depressing situation.,my mother,my daughter,my wife
________ found herself in a displeasing situation.,my mother,my wife,my daughter
________ found herself in a dreadful situation.,my mother,my daughter,my wife
________ found herself in a funny situation.,my mother,my daughter,my wife
________ found herself in a gloomy situation.,my mother,my daughter,my wife
________ found herself in a great situation.,my mother,my daughter,my wife
________ found herself in a grim situation.,my mother,my daughter,my wife
________ found herself in a heartbreaking situation.,my mother,my daughter,my wife
________ found herself in a hilarious situation.,my mother,my daughter,my wife
________ found herself in a horrible situation.,my mother,my daughter,my wife
________ found herself in a serious situation.,my mother,my daughter,my wife
________ found herself in a shocking situation.,my mother,my daughter,my wife
________ found herself in a terrifying situation.,my mother,my daughter,my wife
________ found herself in a threatening situation.,my mother,my wife,my daughter
________ found herself in a vexing situation.,my mother,my wife,my daughter
________ found herself in a wonderful situation.,my mother,my wife,my daughter
________ found herself in an amazing situation.,my mother,my wife,my daughter
________ found herself in an annoying situation.,my mother,my wife,my daughter
________ found herself in an irritating situation.,my mother,my wife,my daughter
________ found herself in an outrageous situation.,my mother,my wife,my daughter
________ found himself in a depressing situation.,my husband,my son,my father
________ found himself in a displeasing situation.,my husband,my son,my father
________ found himself in a dreadful situation.,my husband,my son,my father
________ found himself in a funny situation.,my husband,my son,my father
________ found himself in a gloomy situation.,my husband,my son,my father
________ found himself in a great situation.,my husband,my son,my father
________ found himself in a grim situation.,my husband,my son,my father
________ found himself in a heartbreaking situation.,my husband,my son,my father
________ found himself in a hilarious situation.,my husband,my son,my father
________ found himself in a horrible situation.,my husband,my son,my father
________ found himself in a serious situation.,my husband,my son,my father
________ found himself in a shocking situation.,my husband,my son,my father
________ found himself in a terrifying situation.,my husband,my son,my father
________ found himself in a threatening situation.,my husband,my son,my father
________ found himself in a vexing situation.,my husband,my son,my father
________ found himself in a wonderful situation.,my husband,my son,my father
________ found himself in an amazing situation.,my husband,my son,my father
________ found himself in an annoying situation.,my husband,my son,my father
________ found himself in an irritating situation.,my husband,my son,my father
________ found himself in an outrageous situation.,my husband,my son,my father
________ goes to the school in our neighborhood.,my daughter,my son,my dad
________ has two children.,my aunt,my husband,my daughter
________ made me feel angry.,my mom,my brother,this man
________ made me feel annoyed.,my mom,my brother,this girl
________ made me feel anxious.,my mom,my brother,this girl
________ made me feel depressed.,my mom,my brother,this man
________ made me feel devastated.,my mom,my brother,this girl
________ made me feel disappointed.,my mom,my brother,this girl
________ made me feel discouraged.,my mom,my brother,this girl
________ made me feel ecstatic.,my mom,my brother,this girl
________ made me feel enraged.,my mom,my brother,this girl
________ made me feel excited.,my mom,my brother,this man
________ made me feel fearful.,my mom,my brother,this girl
________ made me feel furious.,my mom,my brother,this girl
________ made me feel glad.,my mom,my brother,this man
________ made me feel happy.,my mom,my brother,this girl
________ made me feel irritated.,my mom,my brother,this girl
________ made me feel miserable.,my mom,my brother,this man
________ made me feel relieved.,my mom,my brother,this man
________ made me feel sad.,my mom,my brother,this man
________ made me feel scared.,my mom,my brother,this man
________ made me feel terrified.,my mom,my brother,this girl
________ told us all about the recent amazing events.,my father,my brother,my dad
________ told us all about the recent annoying events.,my father,my brother,my dad
________ told us all about the recent depressing events.,my brother,my father,my dad
________ told us all about the recent displeasing events.,my brother,my father,my dad
________ told us all about the recent dreadful events.,my brother,my father,my dad
________ told us all about the recent funny events.,my father,my brother,my dad
________ told us all about the recent gloomy events.,my brother,my father,my dad
________ told us all about the recent great events.,my father,my brother,my dad
________ told us all about the recent grim events.,my brother,my father,my dad
________ told us all about the recent heartbreaking events.,my brother,my father,my dad
________ told us all about the recent hilarious events.,my brother,my father,my dad
________ told us all about the recent horrible events.,my father,my brother,my dad
________ told us all about the recent irritating events.,my brother,my father,my dad
________ told us all about the recent outrageous events.,my brother,my father,my dad
________ told us all about the recent serious events.,my father,my brother,my dad
________ told us all about the recent shocking events.,my brother,my father,my dad
________ told us all about the recent terrifying events.,my brother,my father,my dad
________ told us all about the recent threatening events.,my brother,my father,my dad
________ told us all about the recent vexing events.,my brother,my father,my dad
________ told us all about the recent wonderful events.,my father,my brother,my dad
i made ________ feel angry.,this boy,my dad,this man
i made ________ feel annoyed.,this boy,my dad,this man
i made ________ feel anxious.,this boy,my dad,this man
i made ________ feel depressed.,this boy,my dad,this man
i made ________ feel devastated.,this boy,my dad,this man
i made ________ feel disappointed.,this boy,my dad,this man
i made ________ feel discouraged.,this boy,my dad,this man
i made ________ feel ecstatic.,this boy,my dad,this man
i made ________ feel enraged.,this boy,my dad,this man
i made ________ feel excited.,this boy,my dad,this man
i made ________ feel fearful.,this boy,my dad,this man
i made ________ feel furious.,this boy,my dad,this man
i made ________ feel glad.,this boy,my dad,this man
i made ________ feel happy.,this boy,my dad,this man
i made ________ feel irritated.,this boy,my dad,this man
i made ________ feel miserable.,this boy,my dad,this man
i made ________ feel relieved.,this boy,my dad,this man
i made ________ feel sad.,this boy,my dad,this man
i made ________ feel scared.,this boy,my dad,this man
i made ________ feel terrified.,this boy,my dad,this man
i saw ________ in the market.,my mother,my brother,this girl
i talked to ________ yesterday.,my wife,my mother,my daughter
the conversation with ________ was amazing.,my father,my daughter,my husband
the conversation with ________ was annoying.,my father,my daughter,my husband
the conversation with ________ was depressing.,my father,my daughter,my husband
the conversation with ________ was displeasing.,my father,my daughter,my husband
the conversation with ________ was dreadful.,my daughter,my father,my husband
the conversation with ________ was funny.,my father,my daughter,my husband
the conversation with ________ was gloomy.,my father,my daughter,my husband
the conversation with ________ was great.,my father,my daughter,my husband
the conversation with ________ was grim.,my father,my daughter,my husband
the conversation with ________ was heartbreaking.,my girlfriend,my uncle,my husband
the conversation with ________ was hilarious.,my daughter,my father,my husband
the conversation with ________ was horrible.,my father,my daughter,my husband
the conversation with ________ was irritating.,my father,my daughter,my husband
the conversation with ________ was outrageous.,my father,my daughter,my husband
the conversation with ________ was serious.,my father,my daughter,my husband
the conversation with ________ was shocking.,my father,my daughter,my husband
the conversation with ________ was terrifying.,my father,my daughter,my husband
the conversation with ________ was threatening.,my father,my daughter,my husband
the conversation with ________ was vexing.,my father,my daughter,my husband
the conversation with ________ was wonderful.,my father,my daughter,my husband
the situation makes ________ feel angry.,my dad,this boy,my girlfriend
the situation makes ________ feel annoyed.,my dad,this boy,my girlfriend
the situation makes ________ feel anxious.,my dad,this boy,my girlfriend
the situation makes ________ feel depressed.,my dad,this boy,my girlfriend
the situation makes ________ feel devastated.,my dad,this boy,my girlfriend
the situation makes ________ feel disappointed.,this boy,my dad,my aunt
the situation makes ________ feel discouraged.,this boy,my dad,my aunt
the situation makes ________ feel ecstatic.,this boy,my dad,my aunt
the situation makes ________ feel enraged.,this boy,my dad,my aunt
the situation makes ________ feel excited.,my dad,this boy,my girlfriend
the situation makes ________ feel fearful.,this boy,my dad,my aunt
the situation makes ________ feel furious.,this boy,my dad,my aunt
the situation makes ________ feel glad.,my dad,this boy,my girlfriend
the situation makes ________ feel happy.,my dad,this boy,my aunt
the situation makes ________ feel irritated.,this boy,my dad,my aunt
the situation makes ________ feel miserable.,my dad,this boy,my girlfriend
the situation makes ________ feel relieved.,my dad,this boy,my girlfriend
the situation makes ________ feel sad.,my dad,this boy,my girlfriend
the situation makes ________ feel scared.,my dad,this boy,my girlfriend
the situation makes ________ feel terrified.,my dad,this boy,my girlfriend
