question,answer1,answer2,answer3
adam feels ________.,excited,angry,glad
adam found himself in a ________ situation.,horrible,serious,wonderful
adam found himself in an ________ situation.,amazing,annoying,outrageous
adam made me feel ________.,depressed,happy,scared
adam told us all about the recent ________ events.,wonderful,horrible,funny
alan feels ________.,excited,angry,glad
alan found himself in a ________ situation.,horrible,serious,wonderful
alan found himself in an ________ situation.,amazing,annoying,outrageous
alan made me feel ________.,depressed,happy,disappointed
alan told us all about the recent ________ events.,wonderful,horrible,funny
alonzo feels ________.,sad,glad,angry
alonzo found himself in a ________ situation.,horrible,serious,wonderful
alonzo found himself in an ________ situation.,amazing,annoying,outrageous
alonzo made me feel ________.,depressed,happy,scared
alonzo told us all about the recent ________ events.,wonderful,horrible,funny
alphonse feels ________.,sad,glad,angry
alphonse found himself in a ________ situation.,horrible,serious,wonderful
alphonse found himself in an ________ situation.,amazing,annoying,outrageous
alphonse made me feel ________.,depressed,happy,scared
alphonse told us all about the recent ________ events.,wonderful,horrible,funny
amanda feels ________.,miserable,anxious,discouraged
amanda found herself in a ________ situation.,horrible,wonderful,serious
amanda found herself in an ________ situation.,annoying,amazing,outrageous
amanda made me feel ________.,depressed,happy,miserable
amanda told us all about the recent ________ events.,wonderful,horrible,threatening
andrew feels ________.,excited,angry,disappointed
andrew found himself in a ________ situation.,horrible,serious,wonderful
andrew found himself in an ________ situation.,amazing,annoying,outrageous
andrew made me feel ________.,depressed,happy,scared
andrew told us all about the recent ________ events.,wonderful,horrible,threatening
betsy feels ________.,irritated,terrified,fearful
betsy found herself in a ________ situation.,horrible,wonderful,serious
betsy found herself in an ________ situation.,annoying,amazing,irritating
betsy made me feel ________.,depressed,happy,discouraged
betsy told us all about the recent ________ events.,wonderful,horrible,threatening
courtney feels ________.,irritated,terrified,fearful
courtney found herself in a ________ situation.,horrible,wonderful,serious
courtney found herself in an ________ situation.,annoying,amazing,irritating
courtney made me feel ________.,depressed,happy,discouraged
courtney told us all about the recent ________ events.,wonderful,horrible,threatening
darnell feels ________.,sad,glad,angry
darnell found himself in a ________ situation.,horrible,serious,wonderful
darnell found himself in an ________ situation.,amazing,annoying,outrageous
darnell made me feel ________.,depressed,happy,scared
darnell told us all about the recent ________ events.,wonderful,horrible,funny
ebony feels ________.,annoyed,devastated,fearful
ebony found herself in a ________ situation.,horrible,wonderful,serious
ebony found herself in an ________ situation.,annoying,amazing,outrageous
ebony made me feel ________.,depressed,happy,anxious
ebony told us all about the recent ________ events.,wonderful,horrible,threatening
ellen feels ________.,depressed,furious,relieved
ellen found herself in a ________ situation.,horrible,wonderful,serious
ellen found herself in an ________ situation.,annoying,amazing,outrageous
ellen made me feel ________.,depressed,happy,miserable
ellen told us all about the recent ________ events.,wonderful,horrible,threatening
frank feels ________.,excited,angry,disappointed
frank found himself in a ________ situation.,horrible,serious,wonderful
frank found himself in an ________ situation.,amazing,annoying,outrageous
frank made me feel ________.,depressed,happy,anxious
frank told us all about the recent ________ events.,wonderful,horrible,funny
harry feels ________.,excited,angry,glad
harry found himself in a ________ situation.,horrible,serious,wonderful
harry found himself in an ________ situation.,amazing,annoying,outrageous
harry made me feel ________.,depressed,happy,anxious
harry told us all about the recent ________ events.,wonderful,horrible,funny
he feels ________.,excited,angry,disappointed
he found himself in a ________ situation.,horrible,serious,wonderful
he found himself in an ________ situation.,annoying,amazing,outrageous
he made me feel ________.,depressed,happy,disappointed
he told us all about the recent ________ events.,wonderful,horrible,threatening
heather feels ________.,discouraged,depressed,furious
heather found herself in a ________ situation.,horrible,wonderful,serious
heather found herself in an ________ situation.,annoying,amazing,outrageous
heather made me feel ________.,depressed,happy,miserable
heather told us all about the recent ________ events.,wonderful,horrible,threatening
i made adam feel ________.,depressed,happy,sad
i made alan feel ________.,depressed,happy,sad
i made alonzo feel ________.,depressed,happy,sad
i made alphonse feel ________.,depressed,happy,sad
i made amanda feel ________.,depressed,happy,excited
i made andrew feel ________.,depressed,happy,sad
i made betsy feel ________.,depressed,happy,anxious
i made courtney feel ________.,depressed,happy,anxious
i made darnell feel ________.,depressed,happy,sad
i made ebony feel ________.,depressed,happy,miserable
i made ellen feel ________.,depressed,happy,disappointed
i made frank feel ________.,depressed,happy,sad
i made harry feel ________.,depressed,happy,sad
i made heather feel ________.,depressed,happy,disappointed
i made her feel ________.,depressed,happy,terrified
i made him feel ________.,depressed,happy,sad
i made jack feel ________.,depressed,happy,sad
i made jamel feel ________.,depressed,happy,sad
i made jasmine feel ________.,depressed,happy,miserable
i made jerome feel ________.,depressed,happy,anxious
i made josh feel ________.,depressed,happy,angry
i made justin feel ________.,depressed,happy,sad
i made katie feel ________.,depressed,happy,excited
i made kristin feel ________.,depressed,happy,disappointed
i made lakisha feel ________.,depressed,happy,sad
i made lamar feel ________.,depressed,happy,sad
i made latisha feel ________.,depressed,happy,sad
i made latoya feel ________.,depressed,happy,sad
i made leroy feel ________.,depressed,happy,sad
i made malik feel ________.,depressed,happy,sad
i made melanie feel ________.,depressed,happy,miserable
i made my aunt feel ________.,depressed,happy,miserable
i made my boyfriend feel ________.,depressed,happy,scared
i made my brother feel ________.,depressed,happy,angry
i made my dad feel ________.,depressed,happy,excited
i made my daughter feel ________.,depressed,happy,angry
i made my father feel ________.,depressed,happy,glad
i made my girlfriend feel ________.,depressed,happy,disappointed
i made my husband feel ________.,depressed,happy,scared
i made my mom feel ________.,depressed,happy,angry
i made my mother feel ________.,depressed,happy,sad
i made my sister feel ________.,depressed,happy,excited
i made my son feel ________.,depressed,happy,sad
i made my uncle feel ________.,depressed,happy,scared
i made my wife feel ________.,depressed,happy,sad
i made nancy feel ________.,depressed,happy,sad
i made nichelle feel ________.,depressed,happy,sad
i made roger feel ________.,depressed,happy,sad
i made ryan feel ________.,depressed,happy,sad
i made shaniqua feel ________.,depressed,happy,sad
i made shereen feel ________.,depressed,happy,sad
i made stephanie feel ________.,depressed,happy,angry
i made tanisha feel ________.,depressed,happy,sad
i made terrence feel ________.,depressed,happy,anxious
i made this boy feel ________.,depressed,happy,disappointed
i made this girl feel ________.,depressed,happy,scared
i made this man feel ________.,depressed,happy,glad
i made this woman feel ________.,depressed,happy,excited
i made tia feel ________.,depressed,happy,miserable
i made torrance feel ________.,depressed,happy,sad
jack feels ________.,angry,excited,glad
jack found himself in a ________ situation.,horrible,serious,wonderful
jack found himself in an ________ situation.,amazing,annoying,outrageous
jack made me feel ________.,depressed,happy,disappointed
jack told us all about the recent ________ events.,wonderful,horrible,funny
