question,answer1,answer2,answer3
________ feels angry.,my husband,my son,my wife
________ feels annoyed.,my husband,my mom,my brother
________ feels anxious.,my husband,my mom,my brother
________ feels depressed.,my husband,my mom,my brother
________ feels devastated.,my husband,my mom,my brother
________ feels disappointed.,my husband,my son,my wife
________ feels discouraged.,my husband,my mom,my brother
________ feels ecstatic.,my husband,my dad,my mom
________ feels enraged.,my husband,my aunt,my dad
________ feels excited.,my husband,my son,my wife
________ feels fearful.,my husband,my mom,my brother
________ feels furious.,my husband,my mom,my brother
________ feels glad.,my husband,my son,my wife
________ feels happy.,my husband,my son,my wife
________ feels irritated.,my husband,my mom,my dad
________ feels miserable.,my husband,my mom,my wife
________ feels relieved.,my husband,my mom,my brother
________ feels sad.,my husband,my son,my wife
________ feels scared.,my husband,my son,my mom
________ feels terrified.,my husband,my mom,my brother
________ found herself in a depressing situation.,my daughter,she,my sister
________ found herself in a displeasing situation.,my daughter,she,my sister
________ found herself in a dreadful situation.,my daughter,she,my sister
________ found herself in a funny situation.,my daughter,my sister,my mom
________ found herself in a gloomy situation.,my daughter,she,my sister
________ found herself in a great situation.,my daughter,my sister,my mom
________ found herself in a grim situation.,my daughter,she,my sister
________ found herself in a heartbreaking situation.,my daughter,she,my sister
________ found herself in a hilarious situation.,my daughter,she,my sister
________ found herself in a horrible situation.,my daughter,she,my aunt
________ found herself in a serious situation.,my daughter,she,my sister
________ found herself in a shocking situation.,my daughter,she,my sister
________ found herself in a terrifying situation.,my daughter,she,my sister
________ found herself in a threatening situation.,my daughter,my sister,she
________ found herself in a vexing situation.,my daughter,she,my aunt
________ found herself in a wonderful situation.,my daughter,she,my sister
________ found herself in an amazing situation.,my daughter,my mom,my sister
________ found herself in an annoying situation.,my daughter,my sister,my mom
________ found herself in an irritating situation.,my daughter,she,my sister
________ found herself in an outrageous situation.,my daughter,she,my sister
________ found himself in a depressing situation.,my husband,my dad,my brother
________ found himself in a displeasing situation.,my husband,my dad,my brother
________ found himself in a dreadful situation.,my husband,my dad,my brother
________ found himself in a funny situation.,my husband,my brother,my dad
________ found himself in a gloomy situation.,my husband,my dad,my brother
________ found himself in a great situation.,my husband,my dad,my brother
________ found himself in a grim situation.,my husband,my dad,my brother
________ found himself in a heartbreaking situation.,my husband,my dad,my brother
________ found himself in a hilarious situation.,my husband,my dad,my brother
________ found himself in a horrible situation.,my husband,my dad,my brother
________ found himself in a serious situation.,my husband,my dad,my brother
________ found himself in a shocking situation.,my husband,my dad,my brother
________ found himself in a terrifying situation.,my husband,my dad,my brother
________ found himself in a threatening situation.,my husband,my dad,my brother
________ found himself in a vexing situation.,my husband,my dad,my brother
________ found himself in a wonderful situation.,my husband,my dad,my brother
________ found himself in an amazing situation.,my husband,my dad,my brother
________ found himself in an annoying situation.,my husband,my dad,my brother
________ found himself in an irritating situation.,my husband,my dad,my uncle
________ found himself in an outrageous situation.,my husband,my dad,my brother
________ goes to the school in our neighborhood.,my wife,my mom,my husband
________ has two children.,my husband,my mom,my mother
________ made me feel angry.,my husband,my father,my wife
________ made me feel annoyed.,my husband,my father,my wife
________ made me feel anxious.,my husband,my father,my wife
________ made me feel depressed.,my husband,my father,my wife
________ made me feel devastated.,my husband,my father,my wife
________ made me feel disappointed.,my husband,my father,my wife
________ made me feel discouraged.,my husband,my father,my wife
________ made me feel ecstatic.,my husband,my father,my wife
________ made me feel enraged.,my husband,my father,my wife
________ made me feel excited.,my husband,my father,my wife
________ made me feel fearful.,my husband,my father,my wife
________ made me feel furious.,my husband,my father,my wife
________ made me feel glad.,my husband,my father,my wife
________ made me feel happy.,my husband,my father,my wife
________ made me feel irritated.,my husband,my father,my wife
________ made me feel miserable.,my husband,my father,my wife
________ made me feel relieved.,my husband,my father,my wife
________ made me feel sad.,my husband,my father,my wife
________ made me feel scared.,my husband,my father,my wife
________ made me feel terrified.,my husband,my father,my wife
________ told us all about the recent amazing events.,my mother,my mom,my brother
________ told us all about the recent annoying events.,my mother,my mom,my brother
________ told us all about the recent depressing events.,my mom,my mother,my sister
________ told us all about the recent displeasing events.,my mother,my mom,my brother
________ told us all about the recent dreadful events.,my mom,my mother,my sister
________ told us all about the recent funny events.,my mother,my mom,my brother
________ told us all about the recent gloomy events.,my mom,my mother,my sister
________ told us all about the recent great events.,my mother,my mom,my brother
________ told us all about the recent grim events.,my mom,my mother,my sister
________ told us all about the recent heartbreaking events.,my mom,my mother,my sister
________ told us all about the recent hilarious events.,my mother,my mom,my brother
________ told us all about the recent horrible events.,my mother,my mom,my brother
________ told us all about the recent irritating events.,my mom,my mother,my sister
________ told us all about the recent outrageous events.,my mother,my mom,my brother
________ told us all about the recent serious events.,my mother,my mom,my brother
________ told us all about the recent shocking events.,my mom,my mother,my sister
________ told us all about the recent terrifying events.,my mother,my mom,my brother
________ told us all about the recent threatening events.,my mother,my mom,my brother
________ told us all about the recent vexing events.,my mom,my mother,my sister
________ told us all about the recent wonderful events.,my mom,my mother,my sister
i made ________ feel angry.,my husband,my son,my wife
i made ________ feel annoyed.,my husband,my mom,my brother
i made ________ feel anxious.,my husband,my mom,my brother
i made ________ feel depressed.,my husband,my dad,my sister
i made ________ feel devastated.,my husband,my mom,my brother
i made ________ feel disappointed.,my husband,my mom,my wife
i made ________ feel discouraged.,my husband,my mom,my brother
i made ________ feel ecstatic.,my husband,my mom,my dad
i made ________ feel enraged.,my husband,my dad,my sister
i made ________ feel excited.,my husband,my son,my wife
i made ________ feel fearful.,my husband,my mom,my brother
i made ________ feel furious.,my husband,my mom,my brother
i made ________ feel glad.,my husband,my son,my wife
i made ________ feel happy.,my husband,my dad,my mom
i made ________ feel irritated.,my husband,my mom,my dad
i made ________ feel miserable.,my husband,my mom,my brother
i made ________ feel relieved.,my husband,my mom,my brother
i made ________ feel sad.,my husband,my son,my wife
i made ________ feel scared.,my husband,my mom,my wife
i made ________ feel terrified.,my husband,my mom,my brother
i saw ________ in the market.,my mother,this man,my sister
i talked to ________ yesterday.,my daughter,my mom,my brother
the conversation with ________ was amazing.,my dad,my mom,my son
the conversation with ________ was annoying.,my dad,my mom,my son
the conversation with ________ was depressing.,my dad,my mom,my son
